私が料理をします	I do the cooking.
裁判所が売買価格の決定をします	The court determines the selling price.
彼が市長に事前協議の申請をします	He asks the mayor to make preliminary arrangements.
Ｐｒｏｘｙサーバが動作をする	Proxy servers run.
１年生が鍵盤ハーモニカの学習をしました	Students in the first grade learned how to play the harmonica.
１５００万人以上の人が海外旅行をします	More than 15 million people go on overseas trips.
彼が分からないフリをする	He pretends not to understand.
多くの国が技術支援をする	Many countries provide technical support.
その中の二人が喧嘩をした	Two of them quarreled with each other.
不退転の決意をする	I will have an indomitable resolve.
誰かが得をする	Someone will benefit from that.
私が産婦人科探しをした	I looked for the OB/GYN.
Xを私が目の当たりにする	I saw X with my own eyes.
家づくりで何も知らない人がこんな計算をします	Someone who didn't know anything about house-building would come up with a figure like that.
彼がXを目標にします	He regards X as an objective.
彼がXを目標とする	He aims at X.
頭がボーっとします	I'm a bit out of it.
それがXを可能とした	It made X possible.
ずる賢い人間が、バカの大将の振りをする	Smart people pretend to be a dumb.
彼がボーとする	He's out of it.
彼が登録時に虚偽の申告をした	He made a false declaration when registering.
彼がＯＮにします	He turns it on.
敵が攻撃をしない	The enemy hasn't attacked.
仮に人口が１８００人とします	Assume that the population is 1,800.
彼が各保険会社に資料請求をします	He requests information materials from each insurance company.
青年が、荷物の整理をした	The young man stowed his gear.
彼が、肩で息をする	He breathes hard.
１日から１５日までが納税証明書の送信期間とする	The certificate of tax payment must be sent between the 1st and the 15th.
彼が言葉をそう口にした	That's how he said it.
ほとんどの人がアクションの訓練をする	The majority of people have action training.
左翼及び反体制派の人たちが話し合いをした	The left-wingers and dissidents had a discussion.
山田選手がトレーニングをする	Yamada is in training.
何でも完璧にこなすと思っていた人が失敗をする	Even the one we thought could do it perfectly could mess up.
落札者Ａさんが、サービス会社Ｂに商品到着の連絡をします	Successful bidder A will contact service company B about the arrival of goods.
先生が授業をします	The teacher gives lessons.
日本が北朝鮮と戦争をする	Japan fights with North Korea.
彼がこまめに部屋の掃除をする	He cleans the room thoroughly.
私がメールをしました	I sent the e-mail.
会社がチェーン展開をします	The company opens chain stores.
それを見ていた人が注意をしました	The person who saw it gave a warning.
私が車の運転をしない	I don’t drive.
パ・リーグファンの私自身が今からわくわくします	I'm getting excited as a Pacific League fan.
脾臓摘出は５歳までに５６％がする	56% of them had their spleens removed by the age of 5.
彼がXをネタにする	He brought up X.
山田君の母親が、先生に相談をしました	Yamada's mother consulted with the teacher.
１０時開始を予定にしています	It is scheduled to start at 10 o’clock.
各自治体が取り組みをします	Each municipality has a strategy.
誰かが遠隔操作をした	Someone controlled it remotely.
新聞が記事にする	The newspaper will cover it.
多くの学生が、アルバイトをします	Many students have part-time jobs.
彼が外国為替証拠金取引をした	He did foreign exchange margin trading.
Xがなかには多々有ります	There are a lot of X among them.
必要が有ります	It's necessary.
とてもむし歯予防に効果が有ります	It is very effective in preventing tooth decay.
Xには実はいくつかの問題が有ります	There are actually several problems with X.
Xにはちゃんとそれなりの理由が有る	There are indeed appropriate reasons for X.
日本的グリーンツーリズムとはXに若干の違いが有る	Compared with Japanese green tourism, there is a slight difference in terms of X.
大いに変更の可能性が有ります	Changes are very likely to happen.
２期梅毒の場合は、すべてに感染の危険性が有ります	For phase II syphilis, all of them are at risk of infection.
世の中にはこういう事が多々有る	These kinds of things happen a lot in the world.
スポーツにまったく興味が有りません	I'm not interested in sports.
特に求人情報には自信が有ります	We are proud especially of our recruitment information.
Xには自ずと限界が有る	There is a natural limit to X.
Xには一つ意味が有ります	X has one meaning.
Xにあまり意味が有りません	X is not very meaningful.
それは、仲間にするかどうかにはまったく関係が有りません	That has absolutely nothing to do with being friends or not.
割合が年々減少傾向に有る	The proportions have been decreasing every year.
実装状況にまだ差が有る	There is still a difference when it is actually implemented.
指定方法には３つ方法が有ります	There are three ways to specify it.
破損の恐れが有ります	There is a possibility of breakage.
私には全然記憶が有りません	I cannot remember anything at all.
しっとり感が有ります	There is a moist feeling.
とても雰囲気が有ります	It has a good atmosphere.
かなり目に違和感が有る	My eyes feel strange.
車で１時間かかる場所にお店が有ります	There is a shop about an hour's drive from here.
Xに問題が有る	There are problems with X.
ファジーな面が歴史には多々有る	There are plenty of obscure aspects in history.
日本食に関しては、安全なイメージが私には有ります	I have an impression that Japanese foods are safe.
私には、そんな印象が有る	I have that kind of impression.
献身的に行動する人を好きになる傾向が私には有る	I tend to love people who act devotedly.
エンコードの方法にいくつも種類が有る	There are many encoding methods.
人には二つタイプが有ります	There are two types of people.
待ち合わせ時刻まで、まだ時間が有ります	There is a while before the scheduled time.
Xがいつも自分のなかに有る	X is always on my mind.
とても女性に人気が有ります	It is very popular with women.
薬には副作用が有ります	The medicine has side effects.
くだんの場所が近くにまだ有る	That place is still nearby.
紅葉の名所が能楽の舞台となっている所が全国には多々有ります	There are many spots all over the country famous for their fall leaves that have provided the setting for Noh dramas.
山田さんからは、大変苦労された旨の話が有りました	Mr. Yamada said that he had faced tremendous difficulties.
私には経験が有ります	I am experienced.
なかなか機会が有りませんでした	There aren't very many chances any more.
聖書の中にこういう言葉が有ります	Sayings like that are in the Bible.
それは、血行を促進する働きが有ります	It's good for stimulating blood circulation.
もちろん私どもには守秘義務が有ります	We are, of course, obligated to keep it secret.
もちろん院に、そして院長の私に全ての責任が有る	The hospital, and I, the director of hospital, certainly take full responsibility.
それには２つの新機能が有ります	That has 2 new functions.
身に覚えが有った	I can relate to it myself.
委員会では、今年度中に完成させたい旨の報告が有りました	In the committee, there was a report that they want to complete it by the end of this fiscal year.
そしてXの説明が有りました	There was also an explanation about X.
このページには２件の情報が有ります	There are two pieces of information on this page.
父親が一定の障害の状態に有る	The father has a permanent disability.
会社の近くに京料理の店が有る	There is a Kyoto cuisine restaurant near the company.
かなり設定に無理が有ります	The setting is quite unreasonable.
現場からは評価されないケースが多々有ります	There are many cases where an appraisal can't be made on the spot.
気になる点がひとつ有ります	There is one thing that bothers me.
インデックス作成のコストと検索コストがトレードオフの関係に有る	The costs of index creation and retrieval are related to the transactions.
国保税の減免制度には、二つの制度が有る	There are two kinds of tax reduction and exemption systems for the national health insurance tax.
ほとんどの島にこのような物が一つは有る	Nearly every island has one like that.
公園が家の近くに有る	There is a park near home.
１の中には１／３が３つ有る	One is made up of three thirds.
とても言葉に力が有りました	The words are very powerful.
業務系システムの開発に多数の実績が有ります	There are many actual achievements in the development of business systems.
Xにはいろいろ意見が有ります	There many opinions on X.
二つ皆さんに質問が有ります	I want to ask all of you two questions. 
数に限りが有りません	There is no limit on quantity.
〜と誰かがはっきり言った	Someone has said clearly ～.
彼がどうするつもりかを、私にはっきり言った	He told me clearly what he intended to do.
山田さんがほっとしたように私に言った	Mr./Ms. Yamada sounded relieved to tell me.
自家製麺を使っている店が全体の８割にもなると言う	Shops that make their own noodles are said to account for 80% of shops.
彼が五年前の事を言う	He talks about what happened five years ago.
彼はくだらないことを言わない	He doesn’t speak nonsense.
山田さんと佐藤さんが同時に言う	Yamada and Sato said it at the same time.
ヤツらが今更何を言う	What are those guys saying now?
彼がXにブツブツ文句を言った	He grumbled at X.
彼が一日一回、感謝の言葉を言う	He says words of thanks once every day.
彼が私を最近の人と言う	He says I am very modernized.
呟くように山田がそう言った	Mr./Ms. Yamada half muttered it.
中途脱退者とは、加入期間が１５年未満で年齢が６０歳未満の者を言います	Dropouts are those who have been a part for less than fifteen years and are under the age of 60.
やはり経験がものを言います	Experience really does make the difference.
彼が先生や友達にはっきり自分の意見を言う	He clearly tells his teacher and friends about his own opinions.
彼がXに心からお礼を言いました	He expressed his sincere thanks to X.
彼が文句を言う	He complains.
山田と佐藤はクラスが同じと言う	It is said that Yamada and Sato are in the same class.
気象条件とは選択した項目が設定値より大の状態を言う	The meteorological condition refers to the state in which the item selected is larger than the set value.
彼が６０カ国以上の地域で１０年ちかくの活動を行った	He spent nearly ten years working in parts of more than 60 countries.
彼が主に加工技術の改善研究を行います	He mainly conducts research on the improvement of process technologies.
彼が定期的に血圧コントロールや服薬状況の調査を行います	He regularly checks the blood pressure control and medication.
大学では、主に以下の事業を行います	The following projects are mainly performed at universities.
われわれがそれの他に、全ての関連業務を行います	We perform all the related business besides this.
われわれが地域の方々に積極的に活動の支援を行います	We actively support work in other regions.
われわれが医療従事者向けに感染症情報や医療情報の提供を行います	We provide information on infectious diseases and medical treatment to medical practitioners.
われわれが介護の必要な方に日常生活の援助を行います	We provide daily life assistance for those who need it.
彼が一緒に昔のおもちゃ作りを行いました	He made old-fashioned toys with me/them.
彼が継続的にブログシステムの改善を行います	He continuously improves the blog system.
彼があのタイトルで１８分の発表を行った	He delivered an 18-minute speech on the subject
教授が本テーマで基調講演を行った	The professor gave a keynote speech on this theme.
彼がセミナーの実施方法の検討を行う	He will review how the seminar is implemented.
彼が活発に地域子育て情報の発信・交換を行っています	He actively sends and exchanges information on regional child rearing.
業者が随時危険箇所の補修を行いました	The workers repaired the dangerous places as needed.
希望者多数の場合は彼が日程の調整を行います	If there are too many applicants, he will adjust the schedule.
彼が随時、機能の変更や具合の修正などを行います	He will change the function and fix how it works as needed.
事前に協議を行わなければならない	Prior discussion has to be conducted.
彼が活発に議論を行います	He actively participates in the discussion.
彼が体育館で１時間半の練習を行います	He exercises in the gymnasium for an hour and a half.
当館では、事前に、催し物主催者と打合せを行います	We will have am advance meeting with the event organizer in this hall.
ＳＥがシステムの設計を行います	System engineers design the system.
彼が企業のビジネスブランド開発・コンサルティングを行う	He does corporate business brand development and consultation.
データ登録にはまず情報のカテゴリ登録を行います	In order to register the data, first register the category information.
彼が知事に認定の申請を行います	He will apply to the governor for the certification.
注文の方には必ず注文内容の確認を行います	We will ask you to confirm your order.
彼がまず毎朝の健康チェックを行います	He does a health check first thing every morning.
当社ではオリジナル刺繍ワッペンの製作及び刺繍商品の製作販売を行います	Our company makes original embroidered badges, and manufactures and sells embroidered goods.
市役所が行政資料の有償頒布を行っています	The municipal government is distributing the administrative data for a fee.
彼が材料物性，寿命特性の評価を行った	He evaluated the physical property and longevity traits.
彼が今後の方向付けを行います	He determines future directions.
その場合は以下の操作を行います	Conduct the following operations under in these circumstances:
それが自動的に終了時間の計算を行う	It will automatically calculate the termination time.
Ａ社が初めて日本で株式の取引を行う	Company A will perform stock transactions in Japan for the first time.
プログラムが自動で株式の売買を行います	The program automatically performs stock transactions.
われわれが社員向けに以下の各種サービスを行います	We provide the following array of services to our company employees:
彼が中小企業向けの経営コンサルティングサービスを行う	He provides management consulting services to small and medium-sized enterprises.
まず、以下の設定を行います	First, set the following settings:
当社が会場のセッティングを行いました	Our company arranged the meeting place.
本サービスを提供するにあたり、以下の行為を行ってはならない	The following behavior is not allowed during the provision of this service.
彼が国会前座り込みと議員要請行動を１１時から１時の間に行います	He will hold a sit-in in front of the Diet and petition members of the Diet from 11:00 a.m to 1:00 a.m.
新規のお客様には、事前にスタッフが料金・内容等の説明を行います	The staff explains costs and content to new customers in advance.
彼が丁寧に問題の解説を行います	He carefully explains the problem.
以下のとおり意見の募集を行います	Opinions will be solicited as indicated below.
彼が随時相談の受付を行う	He is open to discussion at any time.
彼が企業向けに業務システムの提案を行います	He puts forward proposals for enterprise business system.
教育再生会議が、７つの提言を行いました	Seven proposals were put forward at the educational reform meeting
彼が契約内容の変更を行う	He changes the content of the contract.
管理者が速やかに個人情報の削除を行います	The administrator promptly deletes personal information.
彼が事前に所定の入学資格審査を行います	He does the screening for entrance eligibility in advance.
文化系のサークルが作品の展示を行う	The cultural club will exhibit their works.
彼が積極的に人事交流を行う	He actively conducts personnel exchanges.
スタッフが当日のエンジンサポートを行います	Our staff will provide that day's engine support.
実際に使用している方には私が使用方法のアドバイスを行います	I will provide advice concerning the usage to those who are currently using it.
彼がXを５０回ほど行います	He conducts X approximately 50 times.
彼がダイエットする方法をいろいろ考えます	He thinks about different ways to lose weight.
幸せをどう作っていくべきかをまず自治体が考えていかなければならない	First of all, municipalities have to think about how to make people happy.
彼がふと一年前の事を考える	He randomly thinks about what happened a year ago.
私がそんなことをいつも考えています	I think about things like that a lot.
私が具体的には２つの方法を考えている	Specifically, I have two methods in my mind.
私がそろそろ明日の対策を考える	It is almost time for me to think about countermeasures for tomorrow.
あとは、それを読んだ人たちが何を考えるかだ	The rest will depend on what those who read the book think.
彼らがなにかを考えている	They are thinking something.
彼が一貫教育を考えています	He is thinking about the unified school program.
彼が昨日の問題を考える	He thinks about yesterday's problems.
Xが重要と、考えます	X is thought to be important.
当社はXを当社の社会的責務と考えます	Our company thinks that we are socially responsibly for X.
一人一人が今一度教育のあり方を考えます	Every single person rethinks how education should be done.
彼が真剣に、近くの会社に転職を考えた	He seriously thought about switching to a nearby company.
予定として１２月４日を考えています	It's tentatively planned for December 4th.
一人一人が明日の環境を考える	Everyone thinks about the environment for the future.
環境問題について、課題と将来の方向を考える	We think about the challenges and future directions of environmental problems.
Xがいいなと考えた	X is thought to be good.
まず、当時の状況を考えましょう	First, think about the situation at that time.
当社は住まいと家族の健康を考えます	Our company considers housing and family health. 
彼が真剣にそれの購入を考えています	He is seriously thinking about buying that.
彼がいろいろと対策を考える	He thinks about many countermeasures.
彼がXの意味を考える	He thinks about the meaning of X.
開業後の事業内容を考えよう	Let's think about describing our business after we get it started.
銃が入手しにくい社会の仕組みを考えるべきだ	Thought should be given to building a society where it is not easy to obtain guns.
彼がXを初めて見た	He saw X for the first time.
彼がじっと女の人を見る	He stares at women.
牛たちが大きな目で私たちをじっと見る	Oxen stare at us with big eyes.
彼がとりあえず、参観日の様子を見る	Hi is just going to look in on Parent's day for now.
彼が初めて自分の姿を見る	He will see himself for the first time.
私がじっと外の景色を見る	I stare at the scenery outside.
久しぶりに昔の映画を見ました	I watched an old movie I hadn't seen in a long time.
彼が数日前の夜、たまたまＮＨＫの番組を見た	He happened to watch the NHK program the other night.
彼が７月この著者の他の作品を見た	He read something else by this author in July.
もっと幼児教育関連商品の詳細を見る	Read more on preschool education products.
彼がホテルの詳細情報を見る	He reads detailed information on the hotel.
早速今回の導入内容を見ましょう	Let's check out the newly introduced content immediately.
当時のサイトを見よう	Let's look at the site then.
詳しくは会社のホームページを見てください	For more information, please visit the company's home page.
みんなで昔の写真を見る	Everyone looks at the old pictures together.
彼がもっと過去の画像を見る	He looks at much older pictures.
彼が久しぶりに昔の映像を見た	He watched an old video that he hadn't seen in a long time. 
彼が昨晩、久しぶりに昔の夢を見ました	Last night, he dreamed about something he hadn't dreamed about in a long time. 
彼が白昼夢をいつも見る	He is always daydreaming.
彼が一緒にテレビを見る	He watches TV with me/them.
彼は民放ＴＶを殆ど見ません	He rarely watches anything that's not public TV.
子供がじっとわたしの顔を見ました	The child stares at my face.
彼が子供の寝顔を見ました	He looked at the sleeping face of the child.
彼が久しぶりに最近のニュースを見た	He watched the news for the first time in a long while.
詳しくは以前の記事を見てね	Please see previous news reports for details.
続きを見る	See more.
彼が皿絵を見ている	He is looking at the picture on the plate.
みんなで本日のビデオを見る	Everyone watches today's video.
彼がそのＤＶＤを見た	He watched that DVD.
彼がこの日のイベント地図を見る	He reads the map of the events for that day.
彼が下のグラフを見る	He looks at the below chart.
彼が初めてそれを見た	He saw that for the first time.
彼がふと窓の外を見る	He suddenly looks out of the window.
彼が思わず窓の下を見ました	He spontaneously looked under the window.
彼がバンドのライブを見る	He watches the band's live performance.
私がひさしぶりに、夕方のワイドショーを見た	I watched an evening tabloid show for the first time in a while.
彼が冷静に今の状況を見る	He calmly observes current situations.
彼が再放送で今日の試合を見る	He will watch a rerun of the match today.
ふと、山田が自分の時計を見た	Yamada suddenly looked at his watch.
彼がエスニック料理の本を見る	He takes a look at an ethnic cookbook.
彼が今の動きを見る	He observes the current trend.
彼が桜の花を見ました	He looks at the cherry blossoms.
男の子が、じっと私の方を見ました	The boy stares at me.
私がそれを２回ほど見た	I have seen it around two times.
Xがようやく日の目を見た	X finally materialized.
彼が実際に多くの物を見る	He actually sees a lot of things.
彼がもっとこのカテゴリーの商品を見る	He looks at more items in this category.
彼がメル友募集掲示板の書き込みを見る	He looks at messages on e-mail pen pal message boards.
僕はカーテン越しに海を見た	He looked at the sea through the curtains.
君はあの時何を見ていたの	What were you looking at then?
子どもを連れ去る所を近所の人が見た	The neighbors saw the child being kidnapped.
彼が土曜日に前回の再放送を見る	He'll watch a rerun of the program Saturday.
まるで映画のシーンを見ているようだ	It is just like a scene out of a movie.
私が初めて実物を見た	I saw the real thing for the first time.
彼が新聞の広告を見た	He read the advertisement in the newspaper.
彼がふと西の空を見る	He suddenly looks at the sky in the west.
彼が買い物カゴの中身を見る	He looks inside the shopping basket.
彼が、山田の肩越しにパソコンの画面を見た	He looked over Mr. Yamada's shoulder at the computer screen.
彼が昼のメニューを見る	He looks at the lunch menu.
世界に他に類を見ない	It's unlike any other in the world.
彼が冬の花火を見た	He watched the fireworks in winter.
色々な人がこのブログを見ているようです	It seems that various kinds of people are reading this blog.
彼が前回の結果を見る	He looks at the previous results.
試験官がキョロキョロと周りを見た	The proctor looked around.
彼が喫茶店の窓ガラス越しに外の世界を見た	He saw the outside world through the glass window of the coffee shop.
飲みすぎた位が体には丁度良い	Drinking too much is rather good for health.
やっぱり通常の方が良い	It looks like the usual one is better.
結婚するならそのような感じの人とが良い	Serve customers sincerely.
絶対食べた方が良い	You really should eat it.
時計の秒針の音がとても耳に気持ちが良い	The tick of the second hand sounds nice to me. 
とても気分が良い	I feel very good.
少しはみ出すくらいでバランスがちょうど良い	The balance is right if it's sticking out a little.
かなり感度が良い	The sensitivity is fairly good.
遥かに効率が良い	The efficiency is much higher.
納豆は本当に体に良い	Natto is really good for you.
ゲームは身体に良くない	Video games aren't good for you.
あまりにも天気が良い	The weather is excellent.
天候があまり良くない	The weather is not so good.
Xにちょうど都合が良い	It just suits X.
とても、店の雰囲気が良かった	The atmosphere in the shop was very good.
とても居心地が良かった	It was very comfortable.
とても肌の調子が良い	My skin is in good condition.
これはあれよりも締まりが良い	This one is tighter than that.
今から買う人には絶対にそれの方が良い	That's definitely better for anyone buying now.
とても仲が良い	They are on good terms.
とても感じが良かった	It was very pleasant.
これがとてもビールに相性が良い	This goes well with beer.
